Address,City,Price,Lot size (m2),Living space size (m2),Build year,Build type,House type,Roof,Rooms,Toilet,Floors,Energy label,Position,Garden,Estimated neighbourhood price per m2
Bovenweg 223,Sint Pancras,525000.0,251.0,135.0,1972.0,Bestaande bouw,"Eengezinswoning, 2-onder-1-kapwoning",Zadeldak bedekt met pannen,5,1 badkamer en 1 apart toilet,3 woonlagen,D,,"Achtertuin, voortuin en zijtuin",60.35
Julianastraat 19,Waddinxveen,425000.0,181.0,109.0,1935.0,Bestaande bouw,"Herenhuis, geschakelde 2-onder-1-kapwoning",Schilddak bedekt met bitumineuze dakbedekking en pannen,4,1 badkamer en 1 apart toilet,3 woonlagen,E,Aan rustige weg en in woonwijk,Achtertuin en voortuin,14.35
Kuipersgilde 3,Houten,575000.0,198.0,138.0,1986.0,Bestaande bouw,"Eengezinswoning, 2-onder-1-kapwoning",Zadeldak bedekt met pannen,5,1 badkamer en 1 apart toilet,3 woonlagen,B,Aan rustige weg en in woonwijk,Achtertuin,18.55
De Kamp 1 A,Pannerden,259500.0,231.0,92.0,1989.0,Bestaande bouw,"Eengezinswoning, 2-onder-1-kapwoning",Zadeldak bedekt met pannen,5,1 badkamer en 2 aparte toiletten,3 woonlagen,B,Aan rustige weg en in woonwijk,"Achtertuin, voortuin en zijtuin",21.9
Wildrijklaan 8,Sassenheim,1050000.0,423.0,210.0,2000.0,Bestaande bouw,"Eengezinswoning, 2-onder-1-kapwoning",Schilddak bedekt met pannen,6,2 badkamers en 2 aparte toiletten,4 woonlagen en een kelder,A,"Aan rustige weg, aan water, beschutte ligging, in woonwijk en vrij uitzicht","Achtertuin, voortuin en zijtuin",13.4
Tol 4,Oudewater,445000.0,127.0,126.0,2016.0,Bestaande bouw,"Eengezinswoning, tussenwoning",Dwarskap bedekt met pannen,5,1 badkamer en 1 apart toilet,3 woonlagen,A,In woonwijk,Achtertuin en voortuin,17.45
Furkabaan 698,Utrecht,425000.0,170.0,87.0,1984.0,Bestaande bouw,"Eengezinswoning, hoekwoning",Zadeldak bedekt met pannen,5,1 badkamer en 1 apart toilet,2 woonlagen en een vliering,C,In woonwijk,Achtertuin en voortuin,70.8
Abeelstraat 71,Dordrecht,825000.0,413.0,232.0,1974.0,Bestaande bouw,"Eengezinswoning, 2-onder-1-kapwoning",Zadeldak bedekt met pannen,7,1 badkamer en 1 apart toilet,3 woonlagen,D,In woonwijk,Achtertuin en voortuin,50.9
Overegge 8,Zuidveen,249500.0,235.0,124.0,1920.0,Bestaande bouw,"Eengezinswoning, vrijstaande woning",Zadeldak,5,1 badkamer en 1 apart toilet,2 woonlagen,G,"Aan rustige weg, beschutte ligging en in centrum",Voortuin en zijtuin,5.8
Gaasterland 59,Amstelveen,550000.0,137.0,111.0,1992.0,Bestaande bouw,"Eengezinswoning, tussenwoning",Zadeldak,4,1 badkamer en 1 apart toilet,3 woonlagen,A,Aan rustige weg en in woonwijk,Achtertuin en voortuin,20.4
Oostopgaande 53,Nieuwlande,859000.0,5440.0,300.0,2017.0,Bestaande bouw,"Villa, vrijstaande woning",Zadeldak bedekt met pannen,9,3 badkamers en 2 aparte toiletten,3 woonlagen,A,"Aan rustige weg, aan water, in bosrijke omgeving, landelijk gelegen en vrij uitzicht",Tuin rondom,0.6
Ghijseland 198,Rhoon,389000.0,290.0,108.0,1973.0,Bestaande bouw,"Eengezinswoning, tussenwoning",Zadeldak bedekt met pannen,5,1 badkamer,3 woonlagen,C,Aan rustige weg en in woonwijk,Achtertuin en voortuin,13.1
Diedenweg 10 A,Ede,349000.0,281.0,80.0,,Bestaande bouw,"Eengezinswoning, vrijstaande woning",Zadeldak bedekt met pannen,3,1 badkamer en 1 apart toilet,2 woonlagen,F,In woonwijk,"Achtertuin, voortuin en zijtuin",
Klaverbeemd 4,Terheijden,399000.0,219.0,129.0,1976.0,Bestaande bouw,"Eengezinswoning, tussenwoning",Zadeldak bedekt met pannen,5,1 badkamer en 1 apart toilet,3 woonlagen,B,Aan rustige weg en in woonwijk,Achtertuin,
Burgemeester Schoutenstraat 13,Schaijk,495000.0,371.0,141.0,1988.0,Bestaande bouw,"Bungalow, geschakelde woning (semi-bungalow)",Zadeldak bedekt met pannen,3,1 badkamer en 1 apart toilet,2 woonlagen,C,In centrum en in woonwijk,"Achtertuin, voortuin en zijtuin",62.2
Bouwhuisweg 10,Nieuwleusen,560000.0,2510.0,129.0,1967.0,Bestaande bouw,"Eengezinswoning, vrijstaande woning",Zadeldak bedekt met pannen,4,1 badkamer,2 woonlagen,E,"Aan rustige weg, beschutte ligging, buiten bebouwde kom, in woonwijk, landelijk gelegen en vrij uitzicht",Tuin rondom,14.4
Kerkstraat 20,Linden,425000.0,560.0,99.0,1965.0,Bestaande bouw,"Eengezinswoning, vrijstaande woning",Zadeldak bedekt met pannen,5,1 badkamer en 1 apart toilet,2 woonlagen en een vliering,D,Vrij uitzicht,Achtertuin,2.2
Kanariehof 25,Ermelo,415000.0,191.0,131.0,1974.0,Bestaande bouw,"Eengezinswoning, tussenwoning",Zadeldak bedekt met pannen,5,1 badkamer en 1 apart toilet,3 woonlagen,C,"Aan rustige weg, beschutte ligging en in woonwijk",Achtertuin en voortuin,61.6
Vlasven 33,Veghel,310000.0,82.0,80.0,2012.0,Bestaande bouw,"Eengezinswoning, tussenwoning (split-level woning)",Plat dak bedekt met bitumineuze dakbedekking,4,1 badkamer en 2 aparte toiletten,3 woonlagen,A,"Aan rustige weg, in woonwijk en vrij uitzicht",Achtertuin en voortuin,20.45
Mozartdreef 24,Veenendaal,525000.0,280.0,131.0,1990.0,Bestaande bouw,"Eengezinswoning, 2-onder-1-kapwoning",Zadeldak bedekt met pannen,4,1 badkamer en 1 apart toilet,3 woonlagen,C,"Aan park, aan rustige weg en in woonwijk",Achtertuin en voortuin,25.9
Waardenborchstraat 28,Holten,289000.0,333.0,89.0,1963.0,Bestaande bouw,"Eengezinswoning, 2-onder-1-kapwoning",Zadeldak bedekt met pannen,5,1 badkamer en 1 apart toilet,2 woonlagen en een zolder,F,Aan rustige weg en in woonwijk,Tuin rondom,28.5
Schrijvershoeve 22,Helmond,385000.0,140.0,119.0,2017.0,Bestaande bouw,"Eengezinswoning, tussenwoning",Zadeldak bedekt met pannen,5,1 badkamer en 1 apart toilet,3 woonlagen,A,"Aan rustige weg, in woonwijk en vrij uitzicht",Achtertuin en voortuin,30.35
Vinkenbaan 5,Gilze,325000.0,134.0,106.0,2009.0,Bestaande bouw,"Eengezinswoning, eindwoning",Samengesteld dak bedekt met pannen,4,1 badkamer en 1 apart toilet,2 woonlagen,A,Aan rustige weg en in woonwijk,Achtertuin en voortuin,32.86
Sierra Nevada 70,Assendelft,485000.0,130.0,126.0,2008.0,Bestaande bouw,"Eengezinswoning, tussenwoning",Zadeldak bedekt met pannen,5,1 badkamer en 1 apart toilet,3 woonlagen en een vliering,A,Aan rustige weg en in woonwijk,Achtertuin en voortuin,94.55
Culenhof 48,Nuenen,335000.0,135.0,91.0,2009.0,Bestaande bouw,"Eengezinswoning, halfvrijstaande woning (kwadrant woning)",Lessenaardak bedekt met metaal,5,1 badkamer en 1 apart toilet,3 woonlagen,A,In woonwijk,Achtertuin en voortuin,8.25
Gentiaanstraat 84,Apeldoorn,315000.0,153.0,135.0,1971.0,Bestaande bouw,"Eengezinswoning, tussenwoning",Zadeldak bedekt met pannen,5,1 badkamer en 1 apart toilet,3 woonlagen,C,"Aan rustige weg, in woonwijk en vrij uitzicht",Achtertuin en voortuin,40.75
Bovenste Boord 17,Linne,675000.0,1146.0,233.0,1976.0,Bestaande bouw,"Eengezinswoning, vrijstaande woning",Zadeldak bedekt met pannen,9,1 badkamer en 1 apart toilet,2 woonlagen,C,Aan rustige weg,Tuin rondom,36.1
Tilburgweg 45,Arnhem,275000.0,153.0,90.0,1984.0,Bestaande bouw,"Eengezinswoning, tussenwoning",Zadeldak bedekt met pannen,5,1 badkamer en 1 apart toilet,3 woonlagen,B,"Aan rustige weg, beschutte ligging en in woonwijk",Achtertuin en voortuin,59.8
St Gertrudislaan 11,Eindhoven,595000.0,238.0,124.0,1953.0,Bestaande bouw,"Eengezinswoning, hoekwoning",Zadeldak bedekt met bitumineuze dakbedekking en pannen,6,1 badkamer en 1 apart toilet,2 woonlagen en een zolder,A,,Achtertuin en voortuin,18.2
Meerstraat 35,Hillegom,389000.0,109.0,127.0,1920.0,Bestaande bouw,"Eengezinswoning, tussenwoning",Zadeldak bedekt met pannen,5,1 badkamer en 1 apart toilet,3 woonlagen,C,In centrum,Achtertuin,18.65
Onyx 7,'s-Gravenzande,450000.0,143.0,132.0,1978.0,Bestaande bouw,"Eengezinswoning, tussenwoning",Lessenaardak,5,1 badkamer en 1 apart toilet,3 woonlagen,A,Aan rustige weg en in woonwijk,Achtertuin en voortuin,18.3
Barend Kuisstraat 42,Nijkerk,275000.0,158.0,98.0,1988.0,Bestaande bouw,"Eengezinswoning, tussenwoning",Zadeldak bedekt met pannen,5,1 badkamer en 1 apart toilet,3 woonlagen,B,Aan rustige weg en in woonwijk,Achtertuin en voortuin,23.85
Aart van der Leeuwstraat 8,Gorinchem,540000.0,240.0,154.0,1994.0,Bestaande bouw,"Eengezinswoning, geschakelde 2-onder-1-kapwoning",Zadeldak bedekt met pannen,5,1 badkamer en 1 apart toilet,3 woonlagen,A,In woonwijk,Achtertuin en voortuin,26.7
Indusstraat 38,Spijkenisse,525000.0,192.0,139.0,1987.0,Bestaande bouw,"Eengezinswoning, geschakelde 2-onder-1-kapwoning",Zadeldak bedekt met pannen,5,1 badkamer en 1 apart toilet,3 woonlagen,C,"Aan rustige weg, aan water en in woonwijk",Achtertuin en voortuin,10.55
Baardmosstraat 3,Purmerend,389000.0,126.0,116.0,1985.0,Bestaande bouw,"Eengezinswoning, tussenwoning",Dwarskap,4,1 badkamer en 1 apart toilet,3 woonlagen,A,In woonwijk,Achtertuin,57.15
Lankforst 4205,Nijmegen,275000.0,165.0,132.0,1968.0,Bestaande bouw,"Eengezinswoning, tussenwoning",Zadeldak bedekt met pannen,5,1 badkamer en 1 apart toilet,3 woonlagen,C,Aan rustige weg en in woonwijk,Achtertuin en voortuin,20.4
Jadeplantsoen 17,Almere,325000.0,144.0,80.0,1996.0,Bestaande bouw,"Eengezinswoning, tussenwoning",Plat dak bedekt met bitumineuze dakbedekking,4,1 badkamer en 1 apart toilet,2 woonlagen,B,Aan rustige weg en in woonwijk,Achtertuin en voortuin,53.45
Lindestraat 10,St. Willebrord,825000.0,1427.0,304.0,2012.0,Bestaande bouw,"Villa, vrijstaande woning",Samengesteld dak bedekt met pannen,8,2 badkamers en 1 apart toilet,2 woonlagen en een zolder,A,"Aan rustige weg, beschutte ligging en vrij uitzicht",Tuin rondom,89.6
Prinsenstraat 7,Rijssen,359000.0,283.0,139.0,1952.0,Bestaande bouw,"Eengezinswoning, hoekwoning",Zadeldak bedekt met pannen,6,1 badkamer,3 woonlagen,B,Aan rustige weg en in woonwijk,Achtertuin en voortuin,52.85
Hoenderhof 4,Delfzijl,165000.0,153.0,95.0,1981.0,Bestaande bouw,"Eengezinswoning, tussenwoning",Samengesteld dak bedekt met bitumineuze dakbedekking en pannen,4,1 badkamer en 1 apart toilet,2 woonlagen,A,,Achtertuin en voortuin,11.65
De Nachtegaal 22 G,Surhuisterveen,375000.0,6167.0,128.0,2022.0,Bestaande bouw,"Eengezinswoning, hoekwoning",Samengesteld dak bedekt met bitumineuze dakbedekking en pannen,4,1 badkamer en 1 apart toilet,2 woonlagen,A+++,"Aan rustige weg, beschutte ligging, in woonwijk, landelijk gelegen, open ligging en vrij uitzicht","Achtertuin, voortuin en zijtuin",55.8
Eline Verelaan 17,Oosterhout (NB),450000.0,236.0,142.0,1999.0,Bestaande bouw,"Eengezinswoning, 2-onder-1-kapwoning",Zadeldak bedekt met pannen,5,1 badkamer en 2 aparte toiletten,3 woonlagen,C,,Achtertuin en voortuin,26.7
Watermunt 86,Tegelen,615000.0,178.0,191.0,2001.0,Bestaande bouw,"Eengezinswoning, geschakelde woning",Plat dak bedekt met bitumineuze dakbedekking,6,1 badkamer en 2 aparte toiletten,3 woonlagen en een kelder,A,"Aan water, in woonwijk en vrij uitzicht",Patio/atrium en voortuin,12.5
Napoleonshoed 41,Oosterhout (NB),420000.0,134.0,118.0,2018.0,Bestaande bouw,"Eengezinswoning, tussenwoning",Dwarskap bedekt met pannen,4,1 badkamer en 1 apart toilet,3 woonlagen,A,In woonwijk,Achtertuin en voortuin,14.15
Bovendonksestraat 47,Hoeven,425000.0,305.0,116.0,1967.0,Bestaande bouw,"Eengezinswoning, 2-onder-1-kapwoning",Zadeldak bedekt met pannen,4,1 badkamer en 1 apart toilet,2 woonlagen en een zolder,B,In woonwijk,"Achtertuin, voortuin en zijtuin",47.65
Kleine Hassel 6,Lage Mierde,300000.0,129.0,90.0,2005.0,Bestaande bouw,"Eengezinswoning, hoekwoning",Zadeldak bedekt met pannen,4,1 badkamer en 1 apart toilet,3 woonlagen,A,"Aan rustige weg, in bosrijke omgeving en in woonwijk",Achtertuin,13.95
Rosmolen 100,Alphen aan den Rijn,650000.0,233.0,244.0,1989.0,Bestaande bouw,"Eengezinswoning, 2-onder-1-kapwoning",Zadeldak bedekt met pannen,10,1 badkamer en 1 apart toilet,3 woonlagen en een vliering,C,Beschutte ligging en in woonwijk,Achtertuin en voortuin,22.2
Eisenhowerstraat 1,Oss,289000.0,226.0,99.0,1960.0,Bestaande bouw,"Eengezinswoning, 2-onder-1-kapwoning",Plat dak,6,1 badkamer en 1 apart toilet,3 woonlagen,E,In woonwijk,Achtertuin en voortuin,5.55
C.M. van Reesstraat 8,Sliedrecht,299000.0,119.0,94.0,1925.0,Bestaande bouw,"Eengezinswoning, vrijstaande woning",Mansarde dak bedekt met pannen,5,1 badkamer en 2 aparte toiletten,2 woonlagen en een zolder,G,In woonwijk,Achtertuin en zijtuin,20.4
Rietmeent 75,Almere,385000.0,127.0,123.0,1980.0,Bestaande bouw,"Eengezinswoning, tussenwoning",Samengesteld dak bedekt met bitumineuze dakbedekking en pannen,5,1 badkamer en 1 apart toilet,3 woonlagen,B,Aan rustige weg en in woonwijk,Achtertuin en voortuin,22.45
't Muurke 2,Wanroij,425000.0,1860.0,125.0,1965.0,Bestaande bouw,"Eengezinswoning, vrijstaande woning",Zadeldak bedekt met overig en pannen,7,1 badkamer en 2 aparte toiletten,2 woonlagen,G,"Aan rustige weg, buiten bebouwde kom, in bosrijke omgeving, landelijk gelegen en vrij uitzicht",Achtertuin en tuin rondom,23.3
Osingastate 15,Leeuwarden,267500.0,140.0,119.0,1979.0,Bestaande bouw,"Eengezinswoning, geschakelde 2-onder-1-kapwoning",Plat dak bedekt met bitumineuze dakbedekking en pannen,6,1 badkamer en 1 apart toilet,2 woonlagen en een zolder,D,Aan rustige weg en in woonwijk,Achtertuin,40.55
Kamp 13 33,Lelystad,315000.0,200.0,110.0,1981.0,Bestaande bouw,"Eengezinswoning, hoekwoning",Zadeldak bedekt met pannen,5,1 badkamer en 1 apart toilet,3 woonlagen,B,"Aan park, aan rustige weg en in woonwijk","Achtertuin, voortuin en zijtuin",19.15
Meester A Datemalaan 8,Kesteren,545000.0,258.0,117.0,2020.0,Bestaande bouw,"Eengezinswoning, hoekwoning",Zadeldak bedekt met pannen,5,1 badkamer,3 woonlagen,A,Aan rustige weg en in woonwijk,Achtertuin en voortuin,12.25
Prins Mauritslaan 156 E,Den Haag,945000.0,228.0,171.0,1998.0,Bestaande bouw,"Herenhuis, 2-onder-1-kapwoning",Mansarde dak bedekt met bitumineuze dakbedekking en pannen,5,1 badkamer en 2 aparte toiletten,3 woonlagen,B,Aan rustige weg en in woonwijk,Achtertuin en voortuin,97.75
Bromhaar 11,Nieuw Heeten,325000.0,268.0,122.0,1976.0,Bestaande bouw,"Eengezinswoning, 2-onder-1-kapwoning",Zadeldak bedekt met pannen,5,1 badkamer en 1 apart toilet,2 woonlagen en een zolder,B,Aan rustige weg en in woonwijk,Achtertuin,7.1
Waterhoefweg 13,Oisterwijk,462500.0,414.0,139.0,1970.0,Bestaande bouw,"Eengezinswoning, hoekwoning",Zadeldak bedekt met pannen,6,1 badkamer en 1 apart toilet,3 woonlagen,C,"Aan rustige weg, beschutte ligging, in woonwijk en vrij uitzicht",Achtertuin en zijtuin,38.02
Prinsenlaan 32,Emmen,425000.0,1037.0,152.0,1949.0,Bestaande bouw,"Eengezinswoning, 2-onder-1-kapwoning",Zadeldak bedekt met pannen,7,1 badkamer en 1 apart toilet,3 woonlagen en een kelder,C,In centrum,"Achtertuin, voortuin en zijtuin",14.75
Heerstraat 32,Maasbommel,395000.0,1275.0,135.0,1926.0,Bestaande bouw,"Eengezinswoning, vrijstaande woning",Zadeldak bedekt met pannen,8,1 badkamer,2 woonlagen,C,"Aan rustige weg, landelijk gelegen en vrij uitzicht",Tuin rondom,6.05
Bolderik 21,Venray,249000.0,178.0,118.0,1981.0,Bestaande bouw,"Eengezinswoning, tussenwoning",Samengesteld dak bedekt met bitumineuze dakbedekking en pannen,5,1 badkamer en 1 apart toilet,3 woonlagen,C,In woonwijk,Achtertuin en voortuin,17.0
Saltholm 6,Zaandam,599000.0,234.0,121.0,1995.0,Bestaande bouw,"Bungalow, geschakelde woning",Plat dak bedekt met bitumineuze dakbedekking,4,2 badkamers en 1 apart toilet,2 woonlagen,B,In woonwijk,"Patio/atrium, voortuin en zonneterras",13.1
Hanendorperweg 25,Emst,425000.0,597.0,92.0,1952.0,Bestaande bouw,"Eengezinswoning, vrijstaande woning",Zadeldak bedekt met pannen,6,1 badkamer en 1 apart toilet,3 woonlagen en een kelder,E,Aan rustige weg en in centrum,"Achtertuin, voortuin, zijtuin en zonneterras",14.0
Dr. Ramaerlaan 26,Castricum,399000.0,219.0,72.0,1915.0,Bestaande bouw,"Eengezinswoning, 2-onder-1-kapwoning",Zadeldak bedekt met pannen,3,1 badkamer en 1 apart toilet,2 woonlagen,Niet verplicht,In bosrijke omgeving en in woonwijk,"Achtertuin, voortuin en zijtuin",20.6
Middenweg 71 C,Middenbeemster,979000.0,1754.0,284.0,1988.0,Bestaande bouw,"Eengezinswoning, geschakelde woning",Samengesteld dak,7,2 badkamers en 2 aparte toiletten,2 woonlagen,A,"Aan rustige weg, aan water, beschutte ligging, landelijk gelegen, open ligging en vrij uitzicht","Achtertuin, voortuin en zijtuin",42.65
Zandhovenstraat 4,Breda,325000.0,179.0,127.0,1968.0,Bestaande bouw,"Eengezinswoning, tussenwoning",Dwarskap bedekt met pannen,6,1 badkamer en 1 apart toilet,3 woonlagen en een vliering,C,Aan water en in woonwijk,Achtertuin en voortuin,42.6
Rivierdijk 655,Sliedrecht,1250000.0,830.0,316.0,1890.0,Bestaande bouw,"Eengezinswoning, vrijstaande woning (dijkwoning)",Zadeldak bedekt met pannen,6,2 badkamers en 1 apart toilet,3 woonlagen en een vliering,E,Aan rustige weg,Achtertuin en voortuin,4.45
Weerdingerweg 27,Valthe,479000.0,3845.0,180.0,1925.0,Bestaande bouw,"Eengezinswoning, vrijstaande woning",Zadeldak bedekt met pannen,6,2 badkamers en 1 apart toilet,2 woonlagen en een kelder,C,In bosrijke omgeving en vrij uitzicht,Tuin rondom,
Wilhelminastraat 15,Meteren,375000.0,171.0,84.0,1920.0,Bestaande bouw,"Woonboerderij, vrijstaande woning",Zadeldak bedekt met pannen en riet,3,1 badkamer,2 woonlagen,G,Aan rustige weg,Achtertuin en zijtuin,8.45
Strammerboogh 19,Akersloot,275000.0,152.0,76.0,1986.0,Bestaande bouw,"Eengezinswoning, tussenwoning",Zadeldak bedekt met pannen,4,1 badkamer en 1 apart toilet,2 woonlagen en een vliering,C,In woonwijk,Achtertuin en voortuin,34.1
Zwarteweg 15,Leusden,845000.0,570.0,154.0,1966.0,Bestaande bouw,"Eengezinswoning, halfvrijstaande woning",Zadeldak bedekt met pannen,7,1 badkamer en 1 apart toilet,3 woonlagen en een kelder,B,In centrum en in woonwijk,"Achtertuin, voortuin en zijtuin",12.35
Roer 9,Deurne,315000.0,139.0,178.0,,Bestaande bouw,"Eengezinswoning, tussenwoning",Zadeldak bedekt met pannen,6,1 badkamer en 1 apart toilet,2 woonlagen en een zolder,C,Aan rustige weg en in woonwijk,Achtertuin en voortuin,40.55
Frans Halslaan 13,Akersloot,350000.0,145.0,118.0,1968.0,Bestaande bouw,"Eengezinswoning, tussenwoning",Zadeldak bedekt met pannen,6,1 badkamer en 1 apart toilet,3 woonlagen,C,Aan rustige weg en in woonwijk,Achtertuin en voortuin,34.1
Hondstong 8,Heemskerk,750000.0,364.0,128.0,1989.0,Bestaande bouw,"Bungalow, geschakelde woning",Plat dak,3,2 badkamers en 1 apart toilet,1 woonlaag,A,Aan rustige weg en in woonwijk,Achtertuin en voortuin,25.25
Rijksweg 31,Nuland,739000.0,1127.0,163.0,1962.0,Bestaande bouw,"Eengezinswoning, vrijstaande woning",Zadeldak bedekt met pannen,5,2 badkamers en 2 aparte toiletten,3 woonlagen en een kelder,C,,Tuin rondom,34.95
Drieseweg 6,Putten,550000.0,345.0,137.0,1934.0,Bestaande bouw,"Eengezinswoning, 2-onder-1-kapwoning",Mansarde dak bedekt met pannen,6,1 badkamer en 1 apart toilet,2 woonlagen en een kelder,C,"Aan rustige weg, in bosrijke omgeving, in woonwijk en vrij uitzicht",Achtertuin en voortuin,62.8
Dorpsstraat 16 a,Zieuwent,369000.0,365.0,142.0,1974.0,Bestaande bouw,"Eengezinswoning, geschakelde 2-onder-1-kapwoning",Zadeldak bedekt met pannen,5,1 badkamer en 1 apart toilet,3 woonlagen,C,In centrum,"Achtertuin, voortuin en zijtuin",10.95
Richtershof 35,Kapel Avezaath (Gem. Tiel),355000.0,128.0,93.0,2010.0,Bestaande bouw,"Eengezinswoning, tussenwoning",Zadeldak bedekt met pannen,5,1 badkamer en 2 aparte toiletten,3 woonlagen,A,In woonwijk en vrij uitzicht,Achtertuin en voortuin,5.0
Groningerstraat 157,Assen,399000.0,335.0,143.0,1934.0,Bestaande bouw,"Eengezinswoning, 2-onder-1-kapwoning",Schilddak bedekt met pannen,5,1 badkamer en 1 apart toilet,3 woonlagen,B,Aan drukke weg en beschutte ligging,Achtertuin en voortuin,18.1
Noordlandseweg 77 C,'s-Gravenzande,850000.0,1450.0,162.0,1964.0,Bestaande bouw,"Eengezinswoning, vrijstaande woning",Zadeldak bedekt met pannen,5,2 badkamers en 2 aparte toiletten,2 woonlagen en een vliering,E,Aan drukke weg en vrij uitzicht,Tuin rondom,32.15
Dennekruid 210,Rotterdam,427500.0,156.0,137.0,1972.0,Bestaande bouw,"Eengezinswoning, tussenwoning",Zadeldak bedekt met pannen,6,1 badkamer en 1 apart toilet,3 woonlagen,C,Aan rustige weg en in woonwijk,Achtertuin en voortuin,257.3
Singel 250,Vlissingen,239500.0,173.0,94.0,1933.0,Bestaande bouw,"Eengezinswoning, tussenwoning",Zadeldak bedekt met pannen,5,1 badkamer,3 woonlagen,F,Aan rustige weg en in woonwijk,Achtertuin en zonneterras,7.65
Waalsteenhof 15,Hillegom,649000.0,211.0,144.0,2017.0,Bestaande bouw,"Eengezinswoning, hoekwoning",Zadeldak bedekt met pannen,5,1 badkamer en 1 apart toilet,3 woonlagen,A,"Aan park, aan rustige weg, beschutte ligging en in woonwijk","Achtertuin, voortuin en zijtuin",7.1
De Gijster 72,Made,579000.0,527.0,137.0,1997.0,Bestaande bouw,"Eengezinswoning, 2-onder-1-kapwoning",Zadeldak bedekt met pannen,6,1 badkamer en 1 apart toilet,3 woonlagen,A,In woonwijk,Achtertuin,
Noordstraat 5,Poortvliet,415000.0,792.0,159.0,1915.0,Bestaande bouw,"Eengezinswoning, halfvrijstaande woning",Zadeldak bedekt met pannen,5,2 badkamers en 1 apart toilet,2 woonlagen,F,Aan rustige weg en in centrum,"Achtertuin, voortuin en zijtuin",12.6
Muidenstraat 23,Emmeloord,285000.0,164.0,138.0,1980.0,Bestaande bouw,"Eengezinswoning, tussenwoning",Zadeldak bedekt met pannen,5,1 badkamer en 1 apart toilet,3 woonlagen,A,Aan rustige weg en in woonwijk,Achtertuin en voortuin,32.8
Buitenerf 132,Breda,390000.0,270.0,132.0,1982.0,Bestaande bouw,"Eengezinswoning, tussenwoning",Samengesteld dak bedekt met bitumineuze dakbedekking en pannen,6,1 badkamer en 1 apart toilet,2 woonlagen,B,Aan rustige weg en in woonwijk,Achtertuin,42.3
Fluitenkruid 4,Gorinchem,650000.0,287.0,162.0,2018.0,Bestaande bouw,"Eengezinswoning, 2-onder-1-kapwoning",Zadeldak bedekt met pannen,7,1 badkamer en 2 aparte toiletten,4 woonlagen,A,Aan rustige weg en in woonwijk,Achtertuin en voortuin,30.5
Heukelom 7,Afferden (LI),749000.0,1793.0,200.0,2004.0,Bestaande bouw,"Landhuis, vrijstaande woning",Zadeldak bedekt met pannen,6,2 badkamers en 1 apart toilet,2 woonlagen en een kelder,A,Buiten bebouwde kom en open ligging,Tuin rondom,4.55
Maanglans 28,Amersfoort,419000.0,101.0,132.0,1997.0,Bestaande bouw,"Eengezinswoning, tussenwoning (drive-in woning)",Plat dak,5,1 badkamer en 2 aparte toiletten,3 woonlagen,A,Aan water en in woonwijk,Voortuin en zonneterras,33.39
Emmapark 3,Wageningen,599000.0,129.0,140.0,1941.0,Bestaande bouw,"Herenhuis, tussenwoning",Zadeldak bedekt met pannen,6,1 badkamer en 1 apart toilet,3 woonlagen,F,In centrum,Achtertuin en voortuin,29.2
Dwarsweg 4,Elp,485000.0,915.0,243.0,1970.0,Bestaande bouw,"Eengezinswoning, vrijstaande woning",Dwarskap bedekt met overig,4,1 badkamer en 2 aparte toiletten,2 woonlagen,B,"Aan rustige weg, in bosrijke omgeving en vrij uitzicht","Voortuin, zijtuin en zonneterras",3.2
Van Lingelaan 81,Maarssen,689000.0,288.0,154.0,1989.0,Bestaande bouw,"Eengezinswoning, tussenwoning",Zadeldak bedekt met pannen,5,1 badkamer en 1 apart toilet,3 woonlagen,C,Aan water en in woonwijk,Achtertuin en voortuin,
Lebuinusstraat 19,Doetinchem,530000.0,511.0,210.0,1979.0,Bestaande bouw,"Eengezinswoning, geschakelde woning",Zadeldak bedekt met pannen,7,1 badkamer en 1 apart toilet,2 woonlagen,C,"Aan rustige weg, beschutte ligging en in woonwijk","Achtertuin, voortuin en zijtuin",19.3
Straat van Dover 88,Amersfoort,539000.0,133.0,125.0,2018.0,Bestaande bouw,"Eengezinswoning, tussenwoning",Zadeldak bedekt met pannen,5,1 badkamer en 1 apart toilet,3 woonlagen,A,Aan rustige weg en in woonwijk,Achtertuin en voortuin,23.25
Trix Terwindtstraat 17,Spijkenisse,429900.0,165.0,132.0,1991.0,Bestaande bouw,"Eengezinswoning, geschakelde woning",Zadeldak bedekt met pannen,4,1 badkamer en 2 aparte toiletten,2 woonlagen en een zolder,A,Aan rustige weg en in woonwijk,Achtertuin en voortuin,27.35
Brouwhuis 49,Blokker,285000.0,140.0,110.0,1981.0,Bestaande bouw,"Eengezinswoning, tussenwoning",Zadeldak bedekt met pannen,5,1 badkamer en 1 apart toilet,3 woonlagen,B,,Achtertuin en voortuin,10.1
Liefkenshoek 26,Riel,600000.0,530.0,189.0,1972.0,Bestaande bouw,"Eengezinswoning, vrijstaande woning",Zadeldak bedekt met pannen,6,1 badkamer en 1 apart toilet,3 woonlagen,C,"Aan rustige weg, beschutte ligging, in bosrijke omgeving en in woonwijk",Achtertuin en voortuin,23.25
Mariënstein 84,Heiloo,495000.0,187.0,119.0,,Bestaande bouw,"Eengezinswoning, tussenwoning",Zadeldak bedekt met pannen,5,1 badkamer en 1 apart toilet,3 woonlagen,B,In woonwijk en vrij uitzicht,Achtertuin en voortuin,24.0
