Address,City,Price,Lot size (m2),Living space size (m2),Build year,Build type,House type,Roof,Rooms,Toilet,Floors,Energy label,Position,Garden,Estimated neighbourhood price per m2
C.H. Moensstraat 32,Beverwijk,375000.0,109.0,117.0,1928.0,Bestaande bouw,"Eengezinswoning, tussenwoning",Zadeldak bedekt met pannen,5,1 badkamer en 1 apart toilet,3 woonlagen,D,"Aan rustige weg, in centrum en in woonwijk",Achtertuin,26.65
Boschweg 75 + 75a,Schijndel,,525.0,227.0,1929.0,Bestaande bouw,"Eengezinswoning, 2-onder-1-kapwoning",Plat dak bedekt met bitumineuze dakbedekking,6,1 badkamer en 1 apart toilet,2 woonlagen,F,"Aan drukke weg, in centrum en open ligging",Achtertuin,23.4
Rubenslaan 91,Bergschenhoek,500000.0,125.0,131.0,1998.0,Bestaande bouw,"Eengezinswoning, tussenwoning",Lessenaardak bedekt met bitumineuze dakbedekking en pannen,5,1 badkamer en 1 apart toilet,3 woonlagen,B,"In woonwijk, open ligging en vrij uitzicht",Achtertuin en voortuin,41.55
Stuurmanspad 16,Zaandam,650000.0,437.0,85.0,1910.0,Bestaande bouw,"Eengezinswoning, vrijstaande woning",Zadeldak bedekt met pannen,4,1 badkamer en 1 apart toilet,2 woonlagen,C,"Aan rustige weg, aan water, in centrum, landelijk gelegen en vrij uitzicht",Tuin rondom,42.6
Sweelinckstraat 29,Gouda,375000.0,128.0,115.0,1993.0,Bestaande bouw,"Eengezinswoning, tussenwoning",Plat dak bedekt met bitumineuze dakbedekking,5,2 badkamers,3 woonlagen,A,Aan rustige weg en in woonwijk,Achtertuin en voortuin,17.55
Herenweg 55,Breukeleveen,700000.0,320.0,125.0,1900.0,Bestaande bouw,"Eengezinswoning, vrijstaande woning",Zadeldak bedekt met pannen,5,1 badkamer en 1 apart toilet,2 woonlagen,F,"Aan rustige weg, aan vaarwater, aan water, open ligging en vrij uitzicht",Voortuin en zijtuin,2.05
Hoefslag 4,Beilen,669000.0,795.0,185.0,2005.0,Bestaande bouw,"Eengezinswoning, vrijstaande woning",Zadeldak bedekt met pannen,5,2 badkamers,2 woonlagen en een vliering,A,Aan rustige weg,"Achtertuin, voortuin en zijtuin",94.15
Paltrokmolen 122,Weert,779000.0,469.0,243.0,1995.0,Bestaande bouw,"Eengezinswoning, vrijstaande woning",Zadeldak bedekt met pannen,8,1 badkamer en 1 apart toilet,2 woonlagen en een zolder,A,Aan rustige weg en in woonwijk,"Achtertuin, voortuin en zijtuin",29.9
Postillonstraat 41,Breda,295000.0,182.0,96.0,1927.0,Bestaande bouw,"Eengezinswoning, halfvrijstaande woning",Zadeldak bedekt met pannen,3,1 badkamer,2 woonlagen,F,Aan rustige weg en in woonwijk,Achtertuin en zijtuin,88.3
Grotebrugse Grintweg 228,Tiel,650000.0,597.0,195.0,1996.0,Bestaande bouw,"Eengezinswoning, vrijstaande woning",Zadeldak bedekt met pannen,4,1 badkamer en 1 apart toilet,2 woonlagen en een zolder,A,Aan drukke weg,"Achtertuin, voortuin en zijtuin",26.0
